one,basic,turn
basic,turn,button
turn,button,quit
button,quit,app
quit,app,turn
camtimer,simple,camera
simple,camera,timer
camera,timer,application
timer,application,android
application,android,devices
android,devices,allows
devices,allows,choose
allows,choose,five
choose,five,ten
five,ten,fifteen
ten,fifteen,second
fifteen,second,countdown
second,countdown,takes
countdown,takes,one
takes,one,four
one,four,pictures
four,pictures,time
pictures,time,elapsed
time,elapsed,take
elapsed,take,picture
take,picture,shown
picture,shown,full
shown,full,screen
full,screen,allowing
screen,allowing,share
allowing,share,delet
student,administration,tool
administration,tool,tucan
tool,tucan,mobile
tucan,mobile,tu
mobile,tu,darmstadt
tu,darmstadt,available
darmstadt,available,via
available,via,smartphone
via,smartphone,difficult
smartphone,difficult,use
difficult,use,far
use,far,changing
far,changing,everyone
changing,everyone,android
everyone,android,users
android,users,app
users,app,reads
app,reads,page
reads,page,makes
page,makes,suitable
makes,suitable,small
suitable,small,screens
small,screens,unfortunately
screens,unfortunately,currently
unfortunately,currently,possible
currently,possible,register
possible,register,events
register,events,registering
events,registering,registering
registering,registering,exams
registering,exams,experimental
exams,experimental,however
experimental,however,practical
however,practical,quickly
practical,quickly,get
quickly,get,information
get,information,materials
information,materials,tucan
materials,tucan,download
view,live,weather
live,weather,radar
weather,radar,imagery
radar,imagery,canadian
imagery,canadian,government
canadian,government,weather
government,weather,data
weather,data,available
data,available,noncommercial
available,noncommercial,license
noncommercial,license,gps
license,gps,integration
gps,integration,addition
integration,addition,features
addition,features,available
features,available,environment
available,environment,canada
environment,canada,website
canada,website,wiseradar
website,wiseradar,removes
wiseradar,removes,hassle
removes,hassle,checking
hassle,checking,latest
checking,latest,storm
latest,storm,front
storm,front,app
front,app,designed
app,designed,minimal
designed,minimal,headaches
minimal,headaches,tothepoint
headaches,tothepoint,radar
tothepoint,radar,imagery
radar,imagery,key
imagery,key,features
key,features,include
features,include,radar
include,radar,locations
radar,locations,canada
locations,canada,wide
canada,wide,pinch
wide,pinch,zoom
pinch,zoom,images
zoom,images,see
images,see,close
see,close,storm
close,storm,home
storm,home,show
home,show,exact
show,exact,location
exact,location,image
location,image,using
image,using,device
using,device,gps
device,gps,sensor
camera,color,picker
color,picker,lets
picker,lets,capture
lets,capture,real
capture,real,time
real,time,colors
time,colors,around
colors,around,using
around,using,camera
using,camera,devic
