Package Name,App Name,Feature
io.github.sanbeg.flashlight,Open Flashlight,Turn it on with the button
io.github.sanbeg.flashlight,Open Flashlight,Quit the app to turn it off
com.dozingcatsoftware.cameratimer,CamTimer,"Choose from a 5, 10, or 15 second countdown"
com.dozingcatsoftware.cameratimer,CamTimer,Takes one or four pictures after the time has elapsed
com.dozingcatsoftware.cameratimer,CamTimer,"Shown full screen, allowing you to share or delete it "
com.dalthed.tucan,TuCanMobile,Reads the page and makes it suitable for small screens 
com.dalthed.tucan,TuCanMobile,Registering for exams is only experimental 
wiseguys.radar,WiseRadar,View live weather radar imagery
wiseguys.radar,WiseRadar,All radar locations Canada wide
wiseguys.radar,WiseRadar,Pinch zoom on images to see just how close the storm is
wiseguys.radar,WiseRadar,Show exact location on the image
fr.tvbarthel.apps.cameracolorpicker,Camera Color Picker,"Capture, in real time, the colors around you using the camera of your device"
fr.tvbarthel.apps.cameracolorpicker,Camera Color Picker,You can now combine the colors to create beautiful palette
fr.tvbarthel.apps.cameracolorpicker,Camera Color Picker,You can now easily share the colors and the palettes that you created
