Package name,Reviewer name,Review text,raiting
com.sputnik.wispr,Cathy Rees,telstra australia making product almost impossible use i dont know international traveler would fare telstra account number required log telstra air they check ensure telstra sim used im yet work log laptop day im happy,1
com.sputnik.wispr,Andrea z,very expensive billing even disconnected it say worry wont start billing connect mean connect time start go even disconnect if buy one hour mean one hour straight one hour surfing so buy hour check mail disconnect timer keep running anyway,1
com.sputnik.wispr,Chris Wirth,warning this app useless i purchased ten pas use australia app didnt connect hot spot i literally meter away the app sat loading hour i use data incur additional 50 data dont waste money time,1
com.sputnik.wispr,D C,would recommend anyone go fon wifi you surely get 100 connectivity wifi spot im day two using ive disconnected network multiple time sometimes frequent every two minute requires sign back any data plan network way better service would better using cellular data plan im forced used thanks fon instead buying thier monthly pas,1
com.sputnik.wispr,Burak zhan,i need create account see pricing usage pass why why cant show price let decide creating account worth time edit even worse i created account see there pass available region this make sense removing app phone reducing one star two,1
com.sputnik.wispr,Gregory B,barely connects through telstra air long cool period try connect many time dont bother unless using guest pas support done ticket youre pas wont get help,1
com.sputnik.wispr,Luke C,if want pay money get continuous sorry error message wifi access app if expect actually get paid maybe try different app,1
com.sputnik.wispr,Mike Lightley,standing right next router app tell im connected internet must check connection if im connected i download app uninstalling useless app,1
com.sputnik.wispr,Chloe Oh,wasting time money its keep saying many user connected spot time please try later i tried whole day i couldnt connect fon wifi even one min,1
com.sputnik.wispr,Oleg K.,terrible service drop time requires login detail entered every drop im glad i paid one day never,1
com.sputnik.wispr,XIN JIANG,very bad alway showing many user connected spot time please try later so i pay money wifi working,1
com.sputnik.wispr,Dimmu Sihirator,so horrible operator disconnect every second app wasting money time so low disappointed ten dont recommend,1
com.sputnik.wispr,Dan Lutman,very unreliable worked little bit cant connect hotspot,1
com.sputnik.wispr,Boyd Liggitt,very sketchy service with 68 available hotspot around apartment still unable connect,1
com.sputnik.wispr,Darren Dooligan,absolutely amazing price beat monthly broadband leap bound really simple easy use recommend,5
com.sputnik.wispr,Kosta Ivanchev,useless no option buy pas app no subscription option i could see purpose app,1
com.sputnik.wispr,Rich Smith,the app serious problem background battery drain essential phone really really bad,1
com.sputnik.wispr,Pete Newman,4500 toilet connection poor whichever hotspot i go town according fon hotspot map i middle several support useless basically saying problem connection weak just rubbish,1
com.sputnik.wispr,alex palmer,fix app please spent money internet cant use everytime open app say oops something went wrong,1
com.sputnik.wispr,George Arvanitis,doesnt work greece anymore say password incorrect even though correct,1
com.sputnik.wispr,Nooikende Niko,great service bad cant use app im using account supplied local isp,3
com.sputnik.wispr,Katha Athi,waste money paid one day pas doesnt connect,1
com.sputnik.wispr,Michelle Chen,this scam dont let suck it make pay without actually providing internet access consumer beware,1
com.sputnik.wispr,Fossie,this network make miss speed reliability dialup,1
com.sputnik.wispr,Joshua Genrich,your app doesnt workkeeps coming ooops something went wrong,1
com.sputnik.wispr,FireRat666 Classified,worst service terrible app service doesnt work dont waste money,1
com.sputnik.wispr,king funny,the app legendry get wifi easy i wash download app i sure like,5
com.sputnik.wispr,s,disappointed didnt work fon account only telstra bummer,1
com.sputnik.wispr,Sky- Series,best service provider paris france use sfr fon wifi whatsapp call working suggestion,4
com.sputnik.wispr,A Google user,fantastic app its god send love,5
com.sputnik.wispr,Jeanne Smith,i telekom hotspot pas cant sign,2
com.sputnik.wispr,marlon saul palpa zavala,the pass buy valid country fon partner,1
com.sputnik.wispr,Todd Fray,great job application,5
com.sputnik.wispr,Dimitrios N Servis,not working good,1
com.sputnik.wispr,r b,worst app worst internet service ever costumer service rude,1
com.sputnik.wispr,A Google user,really good work well,5
com.sputnik.wispr,Skyla Bee,great works good get great connection from my bedroomlounge room all through out my house,5
com.sputnik.wispr,L M,cant connect internet,1
com.sputnik.wispr,Top Zabava,scam work,1
com.sputnik.wispr,Vortex Rikers,no pass available buy,1
com.sputnik.wispr,Valber Oliveira,helps get connected fon network hotspot worlwide,4
com.sputnik.wispr,grace hart,love fon app,5
com.sputnik.wispr,Lokesh Yadav,it nice experience,2
com.sputnik.wispr,Berto Shane,fon wifi scam,1
com.sputnik.wispr,Silas korsah,hhm let check dude,3
com.sputnik.wispr,Mbahh Dukun,it take money,1
com.sputnik.wispr,david jarosz,love ot thanks l,5
com.sputnik.wispr,King Hodge,hard ok,3
com.sputnik.wispr,Emile Guidry,like,5
com.sputnik.wispr,Dwayne Gardner,great service,5
com.sputnik.wispr,Chlo Deon,love,5
com.sputnik.wispr,md shamim,nice,5
com.sputnik.wispr,Richard Amartey,great,5
com.sputnik.wispr,chukwuemeka ambrose,beautiful,5
com.sputnik.wispr,Mahabub Khan,best,5
com.sputnik.wispr,Lady Songstress,great cheap affordable easy use not bullh1t review either actually good,5
com.sputnik.wispr,European Punjabi,vryyyyyyy nic nd gud app lov,5
com.sputnik.wispr,love you,intarnetnal,5
com.sputnik.wispr,Barber Mazen,fake,1
com.sputnik.wispr,A Google user,,5
com.sputnik.wispr,Farhan sejdeh,bad,1
com.sputnik.wispr,Shailee Gautam,loved,5
com.sputnik.wispr,Amy Yates,love,4
com.sputnik.wispr,El Ham Mohamed,amazing,5
com.sputnik.wispr,Kobus Pretorius,great app,5
com.sputnik.wispr,Elias Lorite,when work great however rarely rarely work absolutely absurd design need internet connect hotspot want internet sure no problem give little internet first ill sort right if isnt constant use disconnect if struggle constantly disconnect fails login best time a really great concept poor execution,1
com.sputnik.wispr,A Google user,on samsung galaxy s5 hard connect connected constantly disconnecting not worth money unless option,1
com.sputnik.wispr,newc geoman,scam never connects hotspot,1
com.sputnik.wispr,Jose Israel Montesinos Herrera,really useful,5
com.sputnik.wispr,Juan R,expensive,1
com.sputnik.wispr,Liz elle Plaatjies,lizplaatjies87gmailcom,5
com.sputnik.wispr,ppsspp games mods,so bad,1
com.sputnik.wispr,Angela Eason,didentlikethatapp,5
com.sputnik.wispr,A Google user,thnx,5
com.sputnik.wispr,bandaru vara prasad,satish,5
com.sputnik.wispr,Iakovos Chantzos,,5
com.sputnik.wispr,FF GAMERS FF,hiiuiiiiiii,5
com.sputnik.wispr,sunil santha,ok,5
com.sputnik.wispr,STARKING MOSES,nice one,5
com.sputnik.wispr,Lee steele,painfull,2
com.sputnik.wispr,strangE,happy,5
com.sputnik.wispr,Ssentume Tjay,great,1
com.sputnik.wispr,Ernest Boateng,good,5
com.sputnik.wispr,Nkwatsibwe Innocent,good,5
